raw_source,standard_source
"Monet Viagens e Turismo LTDA",monet_viagens
"GiraNostra - Tours & Travel",giranostra
"Crossing Travel Company Ltd",crossing_travel
"Ascot Travel",ascot_travel
"Travelstore - Prestação de Serviços de Viagens",travelstore
"Teresa Perez Tours",teresa_perez
"Traveluxury",traveluxury
"The SmartFlyer Inc",smartflyer
"Craft Travel Group LLC",craft_travel
"Travel Experts Inc",travel_experts
"Travel Matters Ltd",travel_matters
"Travel One Agência de Viagens e Turismo",travel_one
"TravelStore - Prestação de Serviços de Viagens",travelstore
"Travel Tailors, Lda",traveltailors
"Travel Edge",travel_edge
"Travel Club",travel_club
"Travel Line",travel_line
"World of Travel",world_of_travel
"American Express Global Business Travel",amex_gbt
"Brickell Travel Management",brickell_travel
"Cadence Travel, Inc.",cadence_travel
"Colour Travel Consultants",colour_travel
"Craft Travel Group LLC",craft_travel
"Crossing Travel Company Ltd",crossing_travel
"Eclectus Travel LLC",eclectus_travel
"Elite Global Journeys",elite_global_journeys
"First In Service Travel",first_in_service
"FVO Travel",fvo_travel
"Hashtag Golf Travel",hashtag_golf
"JB's World Travel Consultants",jbs_world_travel
"Kirker Travel Limited",kirker_travel
"Largay Travel",largay_travel
"Mi Mundo Travel Planner, SL",mi_mundo_travel
"Montserrat Travel & Tours, Ltd",montserrat_travel
"NUBA Expediciones, S.L.",nuba
"Orbe Travel Club Spain S.L.U",orbe_travel
"Place Concierge Ltd",place_concierge
"Protravel International LLC",protravel
"Quench Trip Design",quench_trip_design
"Rosemount Travel",rosemount_travel
"Stubborn Mule Travel",stubborn_mule
"The Travel Corner",travel_corner
"The Travel Club",travel_club
"Travel Experts Inc",travel_experts
"Travel Matters Ltd",travel_matters
"Travel Simplicity LLC",travel_simplicity
"TravelStore - Prestação de Serviços de Viagens",travelstore
"TravelTailors, Lda",traveltailors
"Trips and Ships Luxury Travel",trips_and_ships
"Trufflepig Inc",trufflepig
"Venturion Private Club",venturion
"Voeja Tour International LLC",voeja_tour
"Wayfaring Spain SL",wayfaring_spain
"Wine & Dine Travels B.V.",wine_dine_travels
"XTravel",xtravel
"YTravel, Lda",ytravel
"80Days",80days
"Abercrombie & Kent Spain SL",abercrombie_kent
"Active Holidays BV",active_holidays
